Nome;Categoria;Prezzo;Peso;Kcal;Carboidrati;Zuccheri;Grassi;Fibre;Proteine
UlivetoUliveto 6 x 1,5 L;acqua e bevande;€ 3,78;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioCarrefour Bio Frullato di frutta alla Mela Fragola Banana 120 g;acqua e bevande;€ 0,95;120.0 g;46 kcal;10 g;8,4 g;<0,5 g;1,5 g;<0,5 g
Carrefour BioCarrefour Bio 100% Succo di Mela 750 ml;acqua e bevande;€ 2,99;750.0 ml;46 kcal;11 g;10,5 g;<0,5 g;N/D;<0,5 g
San BenedettoSan Benedetto Thè Limone Zero 1,5 L;acqua e bevande;€ 1,39;1500.0 ml;1 kcal;0,1 g;0,1 g;0 g;N/D;0 g
CarrefourCarrefour Classic Bevanda Senza Zuccheri Aggiunti* Pesca con Mela 3 x 200 ml;acqua e bevande;€ 1,59;600.0 ml;25 kcal;5,3 g;5,0 g;<0,5 g;0,5 g;<0,5 g
CarrefourCarrefour Mirtillo Nettare 6 x 125 ml;acqua e bevande;€ 4,89;750.0 ml;56 kcal;13 g;11 g;<0,5 g;0,6 g;<0,5 g
San BenedettoSan Benedetto Thè Pesca 1,5 L;acqua e bevande;€ 1,39;1500.0 ml;24 kcal;5,8 g;5,7 g;0 g;N/D;0 g
CarrefourCarrefour Classic Naturale Acqua Minerale Naturale Monviso 6 x 1,5 L;acqua e bevande;€ 2,16;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Naturale Acqua Minerale Naturale Monviso 6 x 0,5 L;acqua e bevande;€ 1,74;3000.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Frizzante Acqua Minerale Naturale Monviso 6 x 0,5 L;acqua e bevande;€ 1,74;3.0 l;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Frizzante Acqua Minerale Naturale Monviso 6 x 1,5 L;acqua e bevande;€ 2,16;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Naturale Acqua Minerale Naturale Monviso 6 x 1 L;acqua e bevande;€ 1,80;6000.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Leggermente Frizzante Acqua Minerale Naturale Monviso 6 x 1,5 L;acqua e bevande;€ 2,16;9.0 l;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Thé alla Pesca 1,5 L;acqua e bevande;€ 0,85;1500.0 ml;34 kcal;8,3 g;8,3 g;0 g;N/D;0 g
CarrefourCarrefour Extra Spremuta Arance Rosse 750 ml;acqua e bevande;€ 2,59;750.0 ml;48 kcal;11 g;8,8 g;N/D;N/D;0,7 g
CarrefourCarrefour Classic Bevanda Senza Zuccheri Aggiunti* ACE con Mela 1 L;acqua e bevande;€ 1,79;1000.0 ml;24 kcal;5,7 g;5,3 g;0 g;N/D;<0,5 g
